Troop,Council,Camp Site,Check-In Time
2,CCC,Shoshone,1:15
884,NCAC,Shenandoah,3:00
125,DC,Seneca,12:30
48,COL,Shawnee,12:45
160,COL,Pueblo,12:45
176,COL,Cayuga,1:00
174,COL,Pueblo,2:00
339,COL,Cherokee,2:00
300,MC,Cheyenne,1:45
54 G,NBFC,Cheyenne,12:30
1658,NCAC,Comanche,1:30
4027,HVC,Chinook,2:00
43,COL,Chinook,2:15
191,COL,Chippewa,2:30
503,BTC,Navajo,2:30
44,COL,Mohawk,2:15
94,MTC,Little Mohawk,2:00
15,GSC,Two Feathers,2:30
129,NEPA,Two Feathers,2:45
50,PPC,Running Fox,2:45
267,COL,Running Fox,3:00
601,TRC,Deer Run,3:15
771,BAC,North Wind,3:00
